frame,white_pixels
0,272792
1,232230
2,34062
3,259773
4,247405
5,273252
6,263296
7,271878
8,271017
9,289163
10,288757
11,58614
12,314308
13,301814
14,307803
15,310673
16,314917
17,323934
18,314515
19,333050
20,340433
21,328704
22,343975
23,337430
24,356153
25,361669
26,387616
27,366317
28,282154
29,370774
30,379721
31,282185
32,288945
33,383212
34,400715
35,300253
36,398557
37,415151
38,384342
39,390139
40,335801
41,406169
42,358470
43,361961
44,368602
45,375863
46,418073
47,387415
48,361769
49,362935
50,370916
51,345982
52,370630
53,367439
54,415234
55,432046
56,523547
57,412448
58,395996
59,413995
60,420307
61,420548
62,520034
63,493483
64,553096
65,480254
66,554669
67,554226
68,503058
69,473648
70,499706
71,502853
72,529519
73,537361
74,514318
75,583224
76,530863
77,545212
78,551652
79,581782
80,586470
81,501494
82,548520
83,581313
84,604675
85,574019
86,568411
87,573012
88,565384
89,597562
90,578989
91,619847
92,374512
93,594326
94,599169
95,603530
96,613235
97,641789
98,634273
99,617455
100,621244
101,628404
102,660055
103,704310
104,684641
105,665206
106,701468
107,736653
108,674491
109,670000
110,732633
111,744453
112,728610
113,609857
114,742281
115,753417
116,745653
117,753733
118,693541
119,752869
120,764736
121,769611
122,759950
123,774680
124,776191
125,785107
126,783258
127,775142
128,782488
129,787589
130,798516
131,801363
132,792873
133,800243
134,806258
135,796641
136,808614
137,805373
138,816701
139,819925
140,804803
141,823117
