frame,white_before,white_after,removed_objects,kept_objects
0,272792,46851,26005,459
1,232230,44690,22666,330
2,34062,30119,348,225
3,259773,60017,23804,402
4,247405,63045,22275,374
5,273252,69705,23990,433
6,263296,74291,22610,370
7,271878,82841,22723,393
8,271017,89256,21889,376
9,289163,97313,22676,412
10,288757,103908,22201,379
11,58614,51766,560,345
12,314308,122234,22811,398
13,301814,125775,21142,392
14,307803,133257,21175,365
15,310673,140882,20683,395
16,314917,149120,20158,397
17,323934,155766,20364,401
18,314515,163050,18758,358
19,333050,170888,19834,379
20,340433,175331,20008,420
21,328704,180098,18411,384
22,343975,187400,19115,430
23,337430,190119,18202,432
24,356153,199147,19017,432
25,361669,208129,18616,422
26,387616,217589,20264,456
27,366317,220943,18002,414
28,282154,217504,8968,363
29,370774,230722,17346,402
30,379721,239324,17349,408
31,282185,232955,6690,346
32,288945,240876,6564,368
33,383212,250768,16418,442
34,400715,263751,16975,424
35,300253,255108,6205,392
36,398557,267840,16196,491
37,415151,281817,16417,424
38,384342,274180,14070,469
39,390139,282820,13517,474
40,335801,277834,7906,464
41,406169,291715,14398,503
42,358470,296574,8350,451
43,361961,295749,8875,475
44,368602,305408,8555,461
45,375863,307577,9151,480
46,418073,326901,11990,500
47,387415,324151,8329,489
48,361769,320851,5460,511
49,362935,326037,4928,542
50,370916,332305,5153,533
51,345982,321868,3030,566
52,370630,338309,4125,598
53,367439,344682,2691,604
54,415234,360837,7301,592
55,432046,372920,7902,531
56,523547,395601,15472,638
57,412448,372526,5161,589
58,395996,369291,3310,590
59,413995,377082,4740,618
60,420307,383897,4736,638
61,420548,387630,4127,653
62,520034,422140,12174,553
63,493483,428112,8314,564
64,553096,446481,13351,533
65,480254,431735,6211,581
66,554669,445923,13515,584
67,554226,446418,13270,615
68,503058,442082,7901,587
69,473648,433521,5099,626
70,499706,444824,7063,637
71,502853,457548,5801,602
72,529519,467474,7844,609
73,537361,474757,7915,624
74,514318,468304,5861,649
75,583224,484526,12290,645
76,530863,476510,6963,650
77,545212,487854,7429,609
78,551652,492708,7511,642
79,581782,497645,10651,681
80,586470,501259,10608,665
81,501494,468887,3906,800
82,548520,506828,5206,662
83,581313,515101,8440,667
84,604675,523850,10234,675
85,574019,526287,6027,677
86,568411,523451,5507,710
87,573012,531303,5123,700
88,565384,524854,5021,760
89,597562,541914,6942,783
90,578989,537793,5052,734
91,619847,559607,7681,710
92,374512,347233,2229,1556
93,594326,555286,4714,752
94,599169,559549,4853,740
95,603530,566508,4435,757
96,613235,573435,4804,760
97,641789,575785,8186,987
98,634273,578917,6864,808
99,617455,579338,4569,803
100,621244,582162,4652,871
101,628404,587078,4876,824
102,660055,601291,7178,850
103,704310,606146,11617,881
104,684641,605595,9683,923
105,665206,607799,7035,909
106,701468,613927,10456,956
107,736653,631995,12233,963
108,674491,613619,7258,992
109,670000,614009,6886,982
110,732633,636047,11488,966
111,744453,637601,12301,1002
112,728610,624301,12040,1124
113,609857,565702,4920,1296
114,742281,638825,12040,1029
115,753417,649635,12054,1081
116,745653,644468,11737,1111
117,753733,637074,13285,1230
118,693541,629649,7428,1033
119,752869,651263,11706,1135
120,764736,662182,11734,1118
121,769611,659315,12470,1154
122,759950,646552,12751,1338
123,774680,664564,12445,1184
124,776191,662567,12851,1332
125,785107,673365,12621,1270
126,783258,668168,12791,1384
127,775142,661986,12531,1410
128,782488,680793,11576,1306
129,787589,673676,12719,1471
130,798516,686739,12422,1460
131,801363,691884,12175,1471
132,792873,685662,11956,1525
133,800243,698160,11491,1508
134,806258,694159,12445,1616
135,796641,680741,12676,1685
136,808614,700570,11900,1586
137,805373,699530,11770,1641
138,816701,704016,12290,1713
139,819925,708870,12219,1670
140,804803,699491,11658,1746
141,823117,713886,11990,1652
