frame,left_edge,white_before,white_after
0,0,46851,29120
1,0,44690,30045
2,0,30119,20562
3,0,60017,44288
4,0,63045,47701
5,0,69705,54444
6,0,74291,58604
7,0,82841,66758
8,0,89256,72997
9,0,97313,80743
10,0,103908,86870
11,0,51766,43252
12,0,122234,104403
13,0,125775,108342
14,0,133257,115797
15,0,140882,123212
16,0,149120,131220
17,0,155766,137647
18,0,163050,144580
19,0,170888,152395
20,0,175331,156939
21,0,180098,162168
22,0,187400,168461
23,0,190119,171904
24,0,199147,180261
25,0,208129,188852
26,0,217589,197958
27,0,220943,201667
28,0,217504,198323
29,0,230722,211206
30,0,239324,219600
31,0,232955,213667
32,0,240876,221086
33,0,250768,230484
34,0,263751,243017
35,0,255108,234478
36,0,267840,247059
37,0,281817,261457
38,0,274180,253696
39,0,282820,261995
40,0,277834,257784
41,0,291715,270828
42,0,296574,275546
43,0,295749,275017
44,0,305408,284232
45,0,307577,286850
46,0,326901,305156
47,0,324151,302434
48,0,320851,303736
49,0,326037,308695
50,0,332305,314652
51,0,321868,304712
52,0,338309,320705
53,0,344682,327310
54,0,360837,343142
55,0,372920,354754
56,140,395601,376976
57,0,372526,354798
58,0,369291,351814
59,0,377082,359325
60,0,383897,366444
61,0,387630,370103
62,0,422140,403835
63,139,428112,409703
64,138,446481,427598
65,138,431735,413234
66,137,445923,426972
67,137,446418,427959
68,137,442082,423282
69,137,433521,415249
70,136,444824,426464
71,136,457548,438886
72,136,467474,448749
73,136,474757,456051
74,136,468304,449580
75,136,484526,465667
76,135,476510,457919
77,135,487854,469081
78,127,492708,470687
79,127,497645,475310
80,127,501259,478431
81,127,468887,447306
82,126,506828,484071
83,125,515101,492156
84,126,523850,500687
85,125,526287,503250
86,126,523451,500124
87,125,531303,508196
88,125,524854,501377
89,124,541914,517988
90,124,537793,514267
91,124,559607,535434
92,0,347233,330318
93,123,555286,531162
94,124,559549,535373
95,123,566508,542200
96,123,573435,549215
97,127,575785,555015
98,126,578917,556788
99,127,579338,557363
100,126,582162,559570
101,127,587078,564885
102,126,601291,578559
103,126,606146,583355
104,125,605595,582023
105,126,607799,584794
106,124,613927,590040
107,125,631995,608138
108,124,613619,589610
109,125,614009,589974
110,126,636047,612397
111,124,637601,613172
112,123,624301,600202
113,124,565702,543349
114,121,638825,614211
115,122,649635,625444
116,120,644468,619515
117,122,637074,612882
118,121,629649,604717
119,120,651263,626079
120,120,662182,637050
121,120,659315,634243
122,120,646552,622092
123,119,664564,639168
124,119,662567,637523
125,119,673365,648118
126,118,668168,643186
127,119,661986,637387
128,118,680793,655437
129,117,673676,648146
130,118,686739,661250
131,118,691884,665678
132,116,685662,659493
133,116,698160,671710
134,116,694159,668123
135,116,680741,655145
136,115,700570,674525
137,113,699530,673173
138,113,704016,677636
139,113,708870,682309
140,113,699491,673482
141,114,713886,687482
