frame,white_before,white_after,white_removed,retention_rate
0,29120,2438,26682,8.4
1,30045,9907,21184,33.0
2,20562,18304,8021,89.0
3,44288,23717,24420,53.6
4,47701,28489,24421,59.7
5,54444,36475,26460,67.0
6,58604,42060,24425,71.8
7,66758,47380,29635,71.0
8,72997,53326,29189,73.1
9,80743,50962,36929,63.1
10,86870,56317,38143,64.8
11,43252,61396,9153,141.9
12,104403,69581,43810,66.6
13,108342,77177,42282,71.2
14,115797,92596,41235,80.0
15,123212,97602,42284,79.2
16,131220,105458,46935,80.4
17,137647,112823,44845,82.0
18,144580,120018,44532,83.0
19,152395,127034,46572,83.4
20,156939,133696,46381,85.2
21,162168,139297,47402,85.9
22,168461,144005,48462,85.5
23,171904,150430,46949,87.5
24,180261,156629,50425,86.9
25,188852,161965,56170,85.8
26,197958,167863,55352,84.8
27,201667,174058,62321,86.3
28,198323,179660,51628,90.6
29,211206,183319,60802,86.8
30,219600,187382,59258,85.3
31,213667,192638,54233,90.2
32,221086,200460,53376,90.7
33,230484,204381,58313,88.7
34,243017,209679,64854,86.3
35,234478,216864,56745,92.5
36,247059,221907,64941,89.8
37,261457,226693,69799,86.7
38,253696,230924,61051,91.0
39,261995,235504,63884,89.9
40,257784,237947,62409,92.3
41,270828,241519,68171,89.2
42,275546,246899,74543,89.6
43,275017,252943,63846,92.0
44,284232,257487,68967,90.6
45,286850,262065,75054,91.4
46,305156,252110,98013,82.6
47,302434,234937,107067,77.7
48,303736,235412,125708,77.5
49,308695,256259,93415,83.0
50,314652,278097,76474,88.4
51,304712,286355,81174,94.0
52,320705,292466,72916,91.2
53,327310,298207,74208,91.1
54,343142,311752,77575,90.9
55,354754,318356,84021,89.7
56,376976,324213,96469,86.0
57,354798,327294,80983,92.2
58,351814,328604,82091,93.4
59,359325,327007,86327,91.0
60,366444,333219,90109,90.9
61,370103,346988,82986,93.8
62,403835,362177,100084,89.7
63,409703,373762,93315,91.2
64,427598,385908,97711,90.3
65,413234,390532,83751,94.5
66,426972,393965,94444,92.3
67,427959,392035,94735,91.6
68,423282,394871,90205,93.3
69,415249,396922,82966,95.6
70,426464,401539,94362,94.2
71,438886,408716,91952,93.1
72,448749,415594,100660,92.6
73,456051,422738,98778,92.7
74,449580,425387,92524,94.6
75,465667,429174,98555,92.2
76,457919,419281,99292,91.6
77,469081,410479,120849,87.5
78,470687,413437,122497,87.8
79,475310,423000,110173,89.0
80,478431,437563,103128,91.5
81,447306,440506,82409,98.5
82,484071,445469,105829,92.0
83,492156,452551,110203,92.0
84,500687,462324,106050,92.3
85,503250,466895,105414,92.8
86,500124,468055,102337,93.6
87,508196,471194,110638,92.7
88,501377,471796,102991,94.1
89,517988,476913,110727,92.1
90,514267,440733,132513,85.7
91,535434,446601,144379,83.4
92,330318,450405,50589,136.4
93,531162,458648,129872,86.3
94,535373,463692,133099,86.6
95,542200,487044,123628,89.8
96,549215,459463,163597,83.7
97,555015,418419,240276,75.4
98,556788,460132,167095,82.6
99,557363,513789,132099,92.2
100,559570,525377,112143,93.9
101,564885,527695,163882,93.4
102,578559,525912,113666,90.9
103,583355,531402,132679,91.1
104,582023,543437,142532,93.4
105,584794,546376,179349,93.4
106,590040,548438,119115,92.9
107,608138,549670,153587,90.4
108,589610,558439,116050,94.7
109,589974,559881,119998,94.9
110,612397,558371,154537,91.2
111,613172,548963,141107,89.5
112,600202,552092,145106,92.0
113,543349,559733,106813,103.0
114,614211,560191,150343,91.2
115,625444,558780,153140,89.3
116,619515,571896,139537,92.3
117,612882,572443,186370,93.4
118,604717,576664,121194,95.4
119,626079,578211,134857,92.4
120,637050,577830,177085,90.7
121,634243,583958,134621,92.1
122,622092,583226,183633,93.8
123,639168,585862,140512,91.7
124,637523,583391,142664,91.5
125,648118,584549,205911,90.2
126,643186,588481,149422,91.5
127,637387,587726,158231,92.2
128,655437,594212,154308,90.7
129,648146,596300,156117,92.0
130,661250,597090,202466,90.3
131,665678,599464,168632,90.1
132,659493,598564,193337,90.8
133,671710,595543,241155,88.7
134,668123,597727,165499,89.5
135,655145,598546,233706,91.4
136,674525,608189,185886,90.2
137,673173,611672,165660,90.9
138,677636,618788,166399,91.3
139,682309,621498,162627,91.1
140,673482,505093,224725,75.0
141,687482,341804,345678,49.7
