frame,white_before,white_after,removed_objects,kept_objects
0,2438,791,161,12
1,9907,6770,267,64
2,18304,15459,290,112
3,23717,21117,255,116
4,28489,26009,300,136
5,36475,33387,339,137
6,42060,39160,338,140
7,47380,44159,329,149
8,53326,50498,326,163
9,50962,47825,304,180
10,56317,52659,363,175
11,61396,57566,372,172
12,69581,65108,423,187
13,77177,72540,406,181
14,92596,88365,400,168
15,97602,93496,426,170
16,105458,100976,484,184
17,112823,108530,500,189
18,120018,115535,465,194
19,127034,123045,434,194
20,133696,129831,436,203
21,139297,135058,439,191
22,144005,138684,512,190
23,150430,145367,533,190
24,156629,151466,522,202
25,161965,156464,547,203
26,167863,162810,507,226
27,174058,168231,571,212
28,179660,174373,529,228
29,183319,177921,543,226
30,187382,181795,558,213
31,192638,187105,571,228
32,200460,194631,590,234
33,204381,199044,572,245
34,209679,204032,586,255
35,216864,210760,618,261
36,221907,215698,659,259
37,226693,220553,619,272
38,230924,224904,626,309
39,235504,228599,675,283
40,237947,230751,681,268
41,241519,234486,697,267
42,246899,239504,706,290
43,252943,245634,693,296
44,257487,250269,740,317
45,262065,254958,768,321
46,252110,242040,1033,370
47,234937,221676,1594,459
48,235412,220499,1840,544
49,256259,245866,1234,419
50,278097,270516,849,370
51,286355,279095,804,391
52,292466,284428,768,384
53,298207,290461,786,406
54,311752,304015,785,396
55,318356,310391,743,372
56,324213,316189,834,395
57,327294,319638,782,410
58,328604,320854,804,405
59,327007,319632,815,418
60,333219,325080,853,422
61,346988,338644,866,421
62,362177,354100,793,378
63,373762,366496,808,390
64,385908,378398,792,363
65,390532,382521,847,364
66,393965,386274,835,367
67,392035,383479,852,364
68,394871,386732,868,371
69,396922,388953,867,393
70,401539,393679,795,381
71,408716,400492,829,383
72,415594,407484,850,395
73,422738,414009,922,392
74,425387,416803,912,391
75,429174,420078,888,397
76,419281,408106,1279,414
77,410479,394642,1832,422
78,413437,398717,1706,444
79,423000,411587,1277,452
80,437563,428178,976,442
81,440506,430503,998,435
82,445469,435464,1008,445
83,452551,442855,937,458
84,462324,451964,966,436
85,466895,456921,954,479
86,468055,457924,1005,501
87,471194,460366,1080,495
88,471796,460636,1118,475
89,476913,465778,1120,461
90,440733,427267,1283,564
91,446601,433039,1258,565
92,450405,437588,1239,617
93,458648,446335,1176,591
94,463692,451144,1169,595
95,487044,472818,1594,528
96,459463,437808,2685,657
97,418419,383543,4626,1031
98,460132,439821,2801,790
99,513789,500807,1519,602
100,525377,513440,1314,573
101,527695,515625,1377,576
102,525912,511628,1732,566
103,531402,517307,1537,576
104,543437,531242,1255,581
105,546376,534029,1273,615
106,548438,536336,1259,615
107,549670,537563,1301,639
108,558439,546359,1168,595
109,559881,547339,1242,620
110,558371,544788,1354,619
111,548963,534751,1422,633
112,552092,537268,1505,628
113,559733,545153,1429,622
114,560191,546327,1395,649
115,558780,542192,1634,664
116,571896,557110,1526,658
117,572443,557723,1574,641
118,576664,561791,1522,663
119,578211,562981,1525,669
120,577830,562974,1553,716
121,583958,569049,1510,727
122,583226,566970,1641,756
123,585862,569012,1674,730
124,583391,566681,1835,799
125,584549,566800,1923,862
126,588481,570303,1883,844
127,587726,569409,1952,887
128,594212,576865,1803,830
129,596300,577699,1906,864
130,597090,577499,2030,872
131,599464,578946,2151,872
132,598564,578199,2352,908
133,595543,573654,2449,1001
134,597727,575783,2454,1015
135,598546,575021,2588,1043
136,608189,586209,2268,987
137,611672,589612,2213,995
138,618788,597602,2035,983
139,621498,600283,2010,1023
140,505093,475356,2657,1369
141,341804,295820,3661,1550
