frame,ref_frame,current_total,growth_pixels,decay_pixels,stable_pixels,net_change
0,0,2629,0,0,2629,0
1,0,6762,4133,0,2629,4133
2,0,11619,8990,0,2629,8990
3,0,16261,13847,215,2414,13632
4,0,23785,21534,378,2251,21156
5,0,32028,30080,681,1948,29399
6,0,39546,37692,775,1854,36917
7,0,47641,45848,836,1793,45012
8,0,54543,52845,931,1698,51914
9,0,54128,52604,1105,1524,51499
10,0,60845,59341,1125,1504,58216
11,0,71851,70363,1141,1488,69222
12,0,82674,81184,1139,1490,80045
13,0,91533,89979,1075,1554,88904
14,0,108381,106800,1048,1581,105752
15,0,117135,115487,981,1648,114506
16,0,126950,125247,926,1703,124321
17,0,136391,134729,967,1662,133762
18,0,144622,142970,977,1652,141993
19,0,152443,150830,1016,1613,149814
20,0,159840,158223,1012,1617,157211
21,0,166341,164777,1065,1564,163712
22,0,173748,172173,1054,1575,171119
23,0,182113,180453,969,1660,179484
24,0,189938,188346,1037,1592,187309
25,0,200799,199218,1048,1581,198170
26,0,207760,206169,1038,1591,205131
27,0,217084,215476,1021,1608,214455
28,0,221646,220066,1049,1580,219017
29,0,228905,227290,1014,1615,226276
30,0,231679,230077,1027,1602,229050
31,0,239563,237995,1061,1568,236934
32,0,246903,245379,1105,1524,244274
33,0,251571,250074,1132,1497,248942
34,0,261099,259636,1166,1463,258470
35,0,270693,269318,1254,1375,268064
36,0,276013,274728,1344,1285,273384
37,0,281580,280251,1300,1329,278951
38,0,287479,286164,1314,1315,284850
39,0,293347,292087,1369,1260,290718
40,0,298677,297408,1360,1269,296048
41,0,304689,303397,1337,1292,302060
42,0,311858,310580,1351,1278,309229
43,0,317591,316366,1404,1225,314962
44,0,329917,328669,1381,1248,327288
45,0,336636,335435,1428,1201,334007
46,0,347985,346753,1397,1232,345356
47,0,405330,403913,1212,1417,402701
48,0,423721,422258,1166,1463,421092
49,0,370969,369728,1388,1241,368340
50,0,365325,364179,1483,1146,362696
51,0,365645,364512,1496,1133,363016
52,0,377526,376353,1456,1173,374897
53,0,386475,385320,1474,1155,383846
54,0,396696,395559,1492,1137,394067
55,0,402253,401144,1520,1109,399624
56,0,409643,408522,1508,1121,407014
57,0,415565,414405,1469,1160,412936
58,0,419928,418747,1448,1181,417299
59,0,421679,420485,1435,1194,419050
60,0,434998,433761,1392,1237,432369
61,0,448062,446801,1368,1261,445433
62,0,463514,462234,1349,1280,460885
63,0,475140,473879,1368,1261,472511
64,0,483770,482500,1359,1270,481141
65,0,491878,490645,1396,1233,489249
66,0,492674,491463,1418,1211,490045
67,0,489683,488498,1444,1185,487054
68,0,493421,492196,1404,1225,490792
69,0,496477,495274,1426,1203,493848
70,0,500198,498992,1423,1206,497569
71,0,508274,507094,1449,1180,505645
72,0,517258,516085,1456,1173,514629
73,0,527229,526057,1457,1172,524600
74,0,532169,530995,1455,1174,529540
75,0,539075,537895,1449,1180,536446
76,0,553830,552617,1416,1213,551201
77,0,636710,635222,1141,1488,634081
78,0,637709,636187,1107,1522,635080
79,0,560369,559012,1272,1357,557740
80,0,555545,554228,1312,1317,552916
81,0,560756,559414,1287,1342,558127
82,0,570038,568738,1329,1300,567409
83,0,574154,572878,1353,1276,571525
84,0,583061,581753,1321,1308,580432
85,0,588526,587175,1278,1351,585897
86,0,593475,592096,1250,1379,590846
87,0,602717,601285,1197,1432,600088
88,0,610926,609538,1241,1388,608297
89,0,615068,613701,1262,1367,612439
90,0,574397,573140,1372,1257,571768
91,0,580592,579296,1333,1296,577963
92,0,588584,587297,1342,1287,585955
93,0,593778,592496,1347,1282,591149
94,0,597636,596342,1335,1294,595007
95,0,658592,657115,1152,1477,655963
96,0,782558,780923,994,1635,779929
97,0,837175,835545,999,1630,834546
98,0,750867,749479,1241,1388,748238
99,0,709050,707740,1319,1310,706421
100,0,694590,693252,1291,1338,691961
101,0,718493,717104,1240,1389,715864
102,0,745763,744373,1239,1390,743134
103,0,715882,714579,1326,1303,713253
104,0,714139,712761,1251,1378,711510
105,0,720204,718812,1237,1392,717575
106,0,711421,710039,1247,1382,708792
107,0,716001,714641,1269,1360,713372
108,0,707967,706597,1259,1370,705338
109,0,720029,718674,1274,1355,717400
110,0,734272,732880,1237,1392,731643
111,0,723105,721689,1213,1416,720476
112,0,728810,727394,1213,1416,726181
113,0,718282,716877,1224,1405,715653
114,0,722200,720743,1172,1457,719571
115,0,744355,742825,1099,1530,741726
116,0,750488,749024,1165,1464,747859
117,0,759633,758187,1183,1446,757004
118,0,755831,754351,1149,1480,753202
119,0,758818,757322,1133,1496,756189
120,0,767361,765870,1138,1491,764732
121,0,770372,768823,1080,1549,767743
122,0,777932,776374,1071,1558,775303
123,0,778027,776487,1089,1540,775398
124,0,785274,783747,1102,1527,782645
125,0,794320,792813,1122,1507,791691
126,0,790666,789156,1119,1510,788037
127,0,797161,795610,1078,1551,794532
128,0,788139,786643,1133,1496,785510
129,0,800697,799179,1111,1518,798068
130,0,817478,815971,1122,1507,814849
131,0,824404,822921,1146,1483,821775
132,0,846581,845043,1091,1538,843952
133,0,848422,846847,1054,1575,845793
134,0,844666,843127,1090,1539,842037
135,0,849815,848297,1111,1518,847186
136,0,829887,828409,1151,1478,827258
137,0,827739,826263,1153,1476,825110
138,0,822406,820962,1185,1444,819777
139,0,820044,818588,1173,1456,817415
140,0,725022,723676,1283,1346,722393
141,0,594435,593281,1475,1154,591806
