frame,white_before,white_after,removed_objects,kept_objects
0,272792,56564,25641,823
1,232230,50072,22465,531
2,34062,30588,331,242
3,259773,66595,23557,649
4,247405,68701,22064,585
5,273252,77945,23682,741
6,263296,80912,22361,619
7,271878,88628,22506,610
8,271017,94669,21686,579
9,289163,104667,22401,687
10,288757,109810,21979,601
11,58614,53024,513,392
12,314308,129298,22547,662
13,301814,131593,20923,611
14,307803,138993,20960,580
15,310673,145988,20490,588
16,314917,154047,19973,582
17,323934,161894,20134,631
18,314515,167112,18606,510
19,333050,176144,19639,574
20,340433,180564,19811,617
21,328704,184567,18244,551
22,343975,192270,18933,612
23,337430,194693,18030,604
24,356153,204386,18820,629
25,361669,213398,18419,619
26,387616,223942,20026,694
27,366317,225660,17825,591
28,282154,218871,8917,414
29,370774,235291,17174,574
30,379721,244034,17172,585
31,282185,234646,6627,409
32,288945,242506,6503,429
33,383212,254845,16265,595
34,400715,268186,16809,590
35,300253,256547,6151,446
36,398557,271456,16061,626
37,415151,285574,16277,564
38,384342,276978,13965,574
39,390139,286603,13376,615
40,335801,280051,7823,547
41,406169,295038,14274,627
42,358470,298811,8267,534
43,361961,298362,8778,572
44,368602,307488,8477,539
45,375863,310074,9058,573
46,418073,329494,11894,596
47,387415,326188,8253,565
48,361769,323136,5375,596
49,362935,327799,4862,608
50,370916,334103,5086,600
51,345982,323641,2964,632
52,370630,340788,4033,690
53,367439,346621,2618,677
54,415234,363441,7204,689
55,432046,375345,7812,621
56,523547,400578,15286,824
57,412448,374897,5072,678
58,395996,371704,3219,681
59,413995,379613,4646,712
60,420307,386076,4655,719
61,420548,389578,4055,725
62,520034,425752,12038,689
63,493483,430570,8222,656
64,553096,450347,13207,677
65,480254,434294,6116,676
66,554669,450282,13351,748
67,554226,450503,13118,767
68,503058,444849,7798,690
69,473648,435983,5007,718
70,499706,447571,6961,739
71,502853,459876,5715,688
72,529519,470957,7714,739
73,537361,477644,7807,732
74,514318,471177,5754,756
75,583224,488047,12159,776
76,530863,479646,6847,766
77,545212,490563,7329,709
78,551652,495999,7389,764
79,581782,501084,10522,810
80,586470,505174,10462,811
81,501494,471700,3801,905
82,548520,509941,5090,778
83,581313,518355,8319,788
84,604675,527394,10102,807
85,574019,528814,5932,772
86,568411,526734,5385,832
87,573012,534347,5010,813
88,565384,527861,4909,872
89,597562,545424,6811,914
90,578989,540693,4944,842
91,619847,562200,7584,807
92,374512,351926,2054,1731
93,594326,558062,4611,855
94,599169,562424,4747,846
95,603530,569874,4310,882
96,613235,577001,4672,892
97,641789,579479,8049,1124
98,634273,582410,6734,938
99,617455,582693,4443,929
100,621244,585430,4531,992
101,628404,590834,4736,964
102,660055,604832,7046,982
103,704310,611201,11429,1069
104,684641,609992,9519,1087
105,665206,611061,6914,1030
106,701468,618936,10270,1142
107,736653,637451,12029,1167
108,674491,618023,7094,1156
109,670000,617543,6755,1113
110,732633,640560,11320,1134
111,744453,643390,12085,1218
112,728610,630094,11824,1340
113,609857,570047,4758,1458
114,742281,645380,11796,1273
115,753417,655377,11839,1296
116,745653,650772,11502,1346
117,753733,643189,13057,1458
118,693541,634437,7250,1211
119,752869,657137,11487,1354
120,764736,668829,11485,1367
121,769611,666222,12211,1413
122,759950,653586,12490,1599
123,774680,671635,12182,1447
124,776191,669482,12594,1589
125,785107,679937,12377,1514
126,783258,676294,12488,1687
127,775142,669701,12245,1696
128,782488,687476,11328,1554
129,787589,680904,12449,1741
130,798516,693343,12176,1706
131,801363,699371,11896,1750
132,792873,692785,11690,1791
133,800243,705295,11226,1773
134,806258,702322,12139,1922
135,796641,689121,12362,1999
136,808614,708414,11609,1877
137,805373,706644,11504,1907
138,816701,712062,11990,2013
139,819925,716539,11934,1955
140,804803,706500,11396,2008
141,823117,722574,11668,1974
