frame,n_branches,total_length,mean_length
0,13577,36745.9,2.71
1,11170,30349.5,2.72
2,749,6547.2,8.74
3,12060,35510.9,2.94
4,11208,33720.4,3.01
5,12686,39185.7,3.09
6,11829,37767.2,3.19
7,11894,39128.8,3.29
8,11681,39645.3,3.39
9,12361,42890.6,3.47
10,11899,42856.8,3.60
11,1243,12418.3,9.99
12,12639,48134.8,3.81
13,11836,46945.0,3.97
14,11750,48220.2,4.10
15,11600,49374.7,4.26
16,11416,50359.1,4.41
17,11522,51657.7,4.48
18,10680,51481.3,4.82
19,11366,54489.1,4.79
20,11699,55849.2,4.77
21,10854,54612.9,5.03
22,11370,57424.5,5.05
23,10854,56875.0,5.24
24,11552,60278.7,5.22
25,11622,62220.5,5.35
26,12514,66319.7,5.30
27,11195,63563.7,5.68
28,6451,52862.4,8.19
29,11009,64973.3,5.90
30,11152,66657.3,5.98
31,5761,54742.0,9.50
32,5752,56122.3,9.76
33,10627,68440.4,6.44
34,11300,71477.1,6.33
35,5950,58994.0,9.91
36,10940,71763.8,6.56
37,11446,75147.9,6.57
38,9673,69845.1,7.22
39,9842,71939.9,7.31
40,6777,65490.5,9.66
41,10403,74602.0,7.17
42,7432,70150.4,9.44
43,7578,70203.8,9.26
44,7683,72021.4,9.37
45,7728,72809.4,9.42
46,9511,79337.6,8.34
47,7911,76024.4,9.61
48,6391,72731.4,11.38
49,6390,74506.8,11.66
50,6601,75941.8,11.50
51,5776,73309.3,12.69
52,6147,76429.7,12.43
53,5873,77118.1,13.13
54,7728,83028.5,10.74
55,8171,86379.9,10.57
56,12378,98912.8,7.99
57,6985,84518.1,12.10
58,6207,83333.7,13.43
59,6786,85922.4,12.66
60,6893,87618.1,12.71
61,6737,87584.6,13.00
62,10881,101573.0,9.33
63,9163,98537.5,10.75
64,11784,106917.7,9.07
65,8264,98011.3,11.86
66,12168,108546.5,8.92
67,11862,108205.8,9.12
68,9176,101648.2,11.08
69,7974,98379.9,12.34
70,9011,101804.3,11.30
71,8647,103089.6,11.92
72,9735,107006.3,10.99
73,9888,108126.6,10.94
74,8893,105522.3,11.87
75,12152,115184.2,9.48
76,9439,108498.6,11.49
77,9707,111277.7,11.46
78,10046,112940.7,11.24
79,11382,115880.0,10.18
80,11462,116742.2,10.19
81,8039,106323.8,13.23
82,9336,114434.0,12.26
83,10686,118381.7,11.08
84,11602,121637.1,10.48
85,9933,119565.6,12.04
86,9818,117990.5,12.02
87,9486,119049.2,12.55
88,9423,118238.9,12.55
89,10338,122128.9,11.81
90,9627,121005.0,12.57
91,10987,126805.4,11.54
92,6187,83365.3,13.47
93,9731,123873.4,12.73
94,9799,125232.5,12.78
95,9894,126189.3,12.75
96,10171,128252.1,12.61
97,11666,128329.9,11.00
98,11060,130590.2,11.81
99,10162,129704.0,12.76
100,10419,130578.7,12.53
101,10297,131211.2,12.74
102,11837,136547.4,11.54
103,14074,143015.8,10.16
104,12929,140755.1,10.89
105,11615,137568.7,11.84
106,13404,142473.8,10.63
107,14601,148073.7,10.14
108,11869,139053.1,11.72
109,11570,138009.2,11.93
110,14294,147771.3,10.34
111,15077,149983.9,9.95
112,14959,148288.0,9.91
113,10478,130468.7,12.45
114,14964,151129.0,10.10
115,15214,154118.5,10.13
116,14972,152141.2,10.16
117,16026,153517.8,9.58
118,12757,145705.5,11.42
119,15317,155000.0,10.12
120,15582,157161.6,10.09
121,16039,158562.8,9.89
122,16170,157043.3,9.71
123,16211,160096.3,9.88
124,16596,160216.8,9.65
125,16466,162139.1,9.85
126,16518,161381.0,9.77
127,16713,161773.6,9.68
128,15922,162303.1,10.19
129,16855,163928.0,9.73
130,16864,166140.3,9.85
131,16647,167044.7,10.03
132,16706,165820.6,9.93
133,16813,167275.0,9.95
134,17048,167178.3,9.81
135,17640,167416.7,9.49
136,16904,168554.0,9.97
137,17110,168931.2,9.87
138,17539,171159.4,9.76
139,17594,171329.0,9.74
140,16899,168428.5,9.97
141,17314,171853.7,9.93
