frame,left_edge,white_before,white_after
0,36,272792,258945
1,130,232230,210492
2,132,34062,24214
3,130,259773,237311
4,130,247405,225531
5,129,273252,251284
6,129,263296,241178
7,129,271878,249505
8,129,271017,248723
9,128,289163,267063
10,128,288757,266802
11,163,58614,42836
12,127,314308,291984
13,127,301814,279628
14,128,307803,285261
15,126,310673,289116
16,127,314917,292960
17,125,323934,302332
18,125,314515,293163
19,36,333050,321115
20,125,340433,318565
21,127,328704,307214
22,125,343975,322125
23,126,337430,316018
24,125,356153,333991
25,37,361669,349493
26,125,387616,364873
27,124,366317,344525
28,125,282154,264088
29,124,370774,349643
30,125,379721,357746
31,125,282185,264170
32,124,288945,271138
33,123,383212,361950
34,122,400715,378913
35,123,300253,282530
36,123,398557,377185
37,124,415151,393959
38,123,384342,364007
39,123,390139,369301
40,123,335801,318298
41,122,406169,385744
42,122,358470,340264
43,122,361961,343951
44,121,368602,350385
45,123,375863,357308
46,122,418073,398172
47,122,387415,368466
48,141,361769,342274
49,138,362935,343729
50,137,370916,351801
51,137,345982,328146
52,137,370630,351749
53,136,367439,349427
54,136,415234,395305
55,135,432046,411384
56,136,523547,498740
57,136,412448,393104
58,136,395996,377808
59,135,413995,395011
60,135,420307,401602
61,134,420548,402295
62,134,520034,497715
63,134,493483,472487
64,133,553096,529709
65,132,480254,460125
66,133,554669,531563
67,133,554226,531428
68,132,503058,482323
69,133,473648,454367
70,131,499706,479843
71,132,502853,483112
72,132,529519,508814
73,132,537361,516653
74,131,514318,494804
75,131,583224,561098
76,131,530863,511228
77,130,545212,524949
78,123,551652,532207
79,123,581782,561257
80,122,586470,566210
81,122,501494,485098
82,121,548520,530614
83,121,581313,562421
84,121,604675,584612
85,120,574019,556197
86,120,568411,550840
87,121,573012,555190
88,120,565384,548229
89,120,597562,579385
90,120,578989,561864
91,120,619847,601101
92,122,374512,362934
93,119,594326,577516
94,119,599169,581939
95,119,603530,586371
96,119,613235,596138
97,124,641789,623268
98,122,634273,616401
99,122,617455,600396
100,121,621244,604422
101,123,628404,610914
102,121,660055,641822
103,96,704310,686693
104,120,684641,665173
105,120,665206,647166
106,120,701468,681325
107,120,736653,714614
108,119,674491,656223
109,119,670000,652073
110,119,732633,712377
111,96,744453,726139
112,96,728610,711134
113,119,609857,594279
114,96,742281,724467
115,96,753417,735630
116,117,745653,724499
117,96,753733,735117
118,117,693541,675625
119,96,752869,735155
120,96,764736,746877
121,96,769611,751319
122,96,759950,741241
123,96,774680,755978
124,116,776191,754803
125,96,785107,766202
126,97,783258,764451
127,96,775142,756931
128,96,782488,764391
129,113,787589,766852
130,115,798516,777089
131,96,801363,782553
132,112,792873,772013
133,112,800243,780057
134,111,806258,785213
135,96,796641,777608
136,96,808614,789763
137,110,805373,785049
138,110,816701,795661
139,110,819925,799462
140,110,804803,784870
141,111,823117,802764
