06_神经元ID,07_帧号,08_X,09_Y
1,0,226,737
1,1,226,737
1,2,222,737
1,3,220,754
1,4,222,750
1,5,221,751
1,6,235,744
1,7,235,743
1,8,233,744
1,9,231,744
1,10,232,744
1,11,232,743
1,12,232,744
1,13,232,744
1,14,231,744
1,15,230,744
1,16,230,744
1,17,230,744
1,18,230,744
1,19,230,743
1,20,230,742
1,21,230,743
1,22,230,743
1,23,230,743
1,24,229,744
1,25,229,744
1,26,228,743
1,27,228,742
1,28,228,744
1,29,228,743
1,30,228,744
1,31,228,745
1,32,228,744
1,33,227,744
1,34,227,744
1,35,227,745
1,36,227,745
1,37,228,745
1,38,227,744
1,39,226,744
1,40,227,744
1,41,227,744
1,42,227,743
1,43,227,744
1,44,227,745
1,45,228,743
1,46,228,746
1,47,228,745
1,48,248,750
1,49,245,751
1,50,245,750
1,51,245,749
1,52,245,750
1,53,245,751
1,54,245,751
1,55,245,750
1,56,245,751
1,57,245,751
1,58,245,750
1,59,245,751
1,60,245,751
1,61,245,751
1,62,245,752
1,63,246,752
1,64,246,752
1,65,245,752
1,66,245,752
1,67,245,753
1,68,245,752
1,69,245,753
1,70,245,754
1,71,245,754
1,72,245,753
1,73,247,753
1,74,246,753
1,75,246,753
1,76,246,753
1,77,246,753
1,78,240,755
1,79,239,755
1,80,238,755
1,81,238,755
1,82,238,756
1,83,238,756
1,84,238,758
1,85,238,758
1,86,238,758
1,87,238,757
1,88,237,758
1,89,237,758
1,90,237,758
1,91,237,758
1,92,237,757
1,93,236,758
1,94,236,759
1,95,236,758
1,96,236,758
1,97,241,765
1,98,239,767
1,99,240,769
1,100,239,770
1,101,240,769
1,102,239,772
1,103,240,772
1,104,239,773
1,105,240,771
1,106,239,773
1,107,240,773
1,108,239,772
1,109,239,772
1,110,240,772
1,111,239,774
1,112,238,774
1,113,238,773
1,114,237,775
1,115,238,773
1,116,236,774
1,117,237,776
1,118,237,774
1,119,237,774
1,120,237,773
1,121,236,774
1,122,235,776
1,123,235,774
1,124,235,774
1,125,235,773
1,126,234,773
1,127,235,774
1,128,234,775
1,129,233,775
1,130,234,774
1,131,233,776
1,132,233,776
1,133,234,775
1,134,233,776
1,135,234,778
1,136,233,776
1,137,232,777
1,138,232,777
1,139,232,777
1,140,232,777
1,141,233,777
