frame,clahe_branches,clahe_length,tophat_branches,tophat_length
0,13577,36745.9,58338,222536.0
1,11170,30349.5,56006,215333.4
2,749,6547.2,939,5503.0
3,12060,35510.9,57380,220988.8
4,11208,33720.4,53981,209894.0
5,12686,39185.7,60358,235450.0
6,11829,37767.2,57264,224265.1
7,11894,39128.8,56105,219538.1
8,11681,39645.3,56139,222017.9
9,12361,42890.6,58296,231630.9
10,11899,42856.8,57790,231079.1
11,1243,12418.3,1284,8352.0
12,12639,48134.8,56700,228036.1
13,11836,46945.0,55785,225062.0
14,11750,48220.2,55052,222805.8
15,11600,49374.7,48974,199239.9
16,11416,50359.1,35977,149125.0
17,11522,51657.7,54689,226569.1
18,10680,51481.3,52254,218972.7
19,11366,54489.1,54860,228644.2
20,11699,55849.2,55175,231644.5
21,10854,54612.9,34769,151739.4
22,11370,57424.5,51128,217870.8
23,10854,56875.0,33698,149725.0
24,11552,60278.7,58940,250066.8
25,11622,62220.5,57355,244443.4
26,12514,66319.7,52825,227447.7
27,11195,63563.7,35835,163445.9
28,6451,52862.4,15930,87768.3
29,11009,64973.3,32462,148805.0
30,11152,66657.3,34779,162215.4
31,5761,54742.0,21269,111587.6
32,5752,56122.3,21390,113228.7
33,10627,68440.4,38314,177235.5
34,11300,71477.1,32794,156847.3
35,5950,58994.0,18969,106541.2
36,10940,71763.8,34024,162298.5
37,11446,75147.9,32627,157045.5
38,9673,69845.1,24133,125377.9
39,9842,71939.9,38221,182379.3
40,6777,65490.5,16966,101563.7
41,10403,74602.0,20570,114288.3
42,7432,70150.4,17896,107169.4
43,7578,70203.8,17991,107383.3
44,7683,72021.4,18256,109347.2
45,7728,72809.4,17475,108099.1
46,9511,79337.6,19877,118500.5
47,7911,76024.4,33330,172618.1
48,6391,72731.4,15651,104805.7
49,6390,74506.8,16013,106488.1
50,6601,75941.8,14933,105141.9
51,5776,73309.3,12501,94256.4
52,6147,76429.7,14809,106317.3
53,5873,77118.1,14061,104739.8
54,7728,83028.5,15999,114318.1
55,8171,86379.9,20048,128809.4
56,12378,98912.8,42769,218563.9
57,6985,84518.1,17028,120205.2
58,6207,83333.7,14701,111887.5
59,6786,85922.4,15392,115136.0
60,6893,87618.1,15357,116100.9
61,6737,87584.6,16262,120439.1
62,10881,101573.0,38156,204776.3
63,9163,98537.5,38167,209524.7
64,11784,106917.7,25735,159075.5
65,8264,98011.3,25678,160544.2
66,12168,108546.5,25340,159024.8
67,11862,108205.8,24645,158042.5
68,9176,101648.2,23141,152321.6
69,7974,98379.9,19715,139504.7
70,9011,101804.3,20886,145068.8
71,8647,103089.6,26468,168460.3
72,9735,107006.3,41103,226520.1
73,9888,108126.6,39387,219144.4
74,8893,105522.3,26679,170612.2
75,12152,115184.2,27434,173249.6
76,9439,108498.6,22324,155048.0
77,9707,111277.7,25064,166079.4
78,10046,112940.7,25196,167209.3
79,11382,115880.0,26643,172417.7
80,11462,116742.2,26746,173459.0
81,8039,106323.8,18829,140807.1
82,9336,114434.0,22941,162967.4
83,10686,118381.7,24713,170028.2
84,11602,121637.1,26615,177333.2
85,9933,119565.6,25160,174194.6
86,9818,117990.5,25714,174307.5
87,9486,119049.2,26687,179371.9
88,9423,118238.9,24882,171225.4
89,10338,122128.9,26004,179431.9
90,9627,121005.0,27613,183979.5
91,10987,126805.4,28660,190197.4
92,6187,83365.3,8837,72395.5
93,9731,123873.4,25273,178496.3
94,9799,125232.5,25097,179451.2
95,9894,126189.3,25229,180698.9
96,10171,128252.1,26377,185901.7
97,11666,128329.9,29869,194745.1
98,11060,130590.2,27753,190865.0
99,10162,129704.0,25521,182739.0
100,10419,130578.7,27711,191950.7
101,10297,131211.2,26819,189789.7
102,11837,136547.4,36714,229183.1
103,14074,143015.8,41628,243831.7
104,12929,140755.1,32297,209826.4
105,11615,137568.7,32597,212861.9
106,13404,142473.8,43486,251589.6
107,14601,148073.7,49641,276430.0
108,11869,139053.1,40717,243547.1
109,11570,138009.2,34439,216619.6
110,14294,147771.3,36784,227119.0
111,15077,149983.9,49377,274465.1
112,14959,148288.0,50185,275715.9
113,10478,130468.7,27677,184784.4
114,14964,151129.0,51006,279051.7
115,15214,154118.5,48201,272043.1
116,14972,152141.2,50711,279267.5
117,16026,153517.8,60055,314020.6
118,12757,145705.5,44327,257715.0
119,15317,155000.0,52079,285405.6
120,15582,157161.6,52257,287785.5
121,16039,158562.8,54202,293157.1
122,16170,157043.3,70293,355983.2
123,16211,160096.3,67028,346012.6
124,16596,160216.8,64397,331953.6
125,16466,162139.1,57488,308002.0
126,16518,161381.0,64608,334313.9
127,16713,161773.6,69361,351783.2
128,15922,162303.1,55616,299856.9
129,16855,163928.0,64386,333480.6
130,16864,166140.3,70987,363514.5
131,16647,167044.7,70940,361361.0
132,16706,165820.6,71306,361697.9
133,16813,167275.0,58350,312420.6
134,17048,167178.3,72314,365927.3
135,17640,167416.7,77409,382245.8
136,16904,168554.0,72085,364784.8
137,17110,168931.2,71876,364812.5
138,17539,171159.4,73626,372461.8
139,17594,171329.0,68789,352387.9
140,16899,168428.5,72596,365302.0
141,17314,171853.7,64060,333963.7
